product_name,product_category,shipment_mode,average_shipment_day
Team Golf St. Louis Cardinals Putter Grip,Accessories,First Class,1
Team Golf Tennessee Volunteers Putter Grip,Accessories,First Class,1
Team Golf Texas Longhorns Putter Grip,Accessories,First Class,1
Team Golf New England Patriots Putter Grip,Accessories,First Class,1
Team Golf Pittsburgh Steelers Putter Grip,Accessories,First Class,1
Team Golf San Francisco Giants Putter Grip,Accessories,First Class,1
Team Golf New England Patriots Putter Grip,Accessories,Same Day,3
Team Golf St. Louis Cardinals Putter Grip,Accessories,Same Day,3
Team Golf Texas Longhorns Putter Grip,Accessories,Same Day,3
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Same Day,3
Team Golf San Francisco Giants Putter Grip,Accessories,Same Day,3
Team Golf New England Patriots Putter Grip,Accessories,Second Class,2
Team Golf St. Louis Cardinals Putter Grip,Accessories,Second Class,2
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Second Class,2
Team Golf San Francisco Giants Putter Grip,Accessories,Second Class,2
Team Golf Tennessee Volunteers Putter Grip,Accessories,Second Class,2
Team Golf Texas Longhorns Putter Grip,Accessories,Second Class,2
Team Golf St. Louis Cardinals Putter Grip,Accessories,Standard Class,4
Team Golf New England Patriots Putter Grip,Accessories,Standard Class,4
Team Golf Tennessee Volunteers Putter Grip,Accessories,Standard Class,4
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Standard Class,4
Team Golf San Francisco Giants Putter Grip,Accessories,Standard Class,4
Team Golf Texas Longhorns Putter Grip,Accessories,Standard Class,4
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,First Class,1
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Same Day,3
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Second Class,2
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Standard Class,4
Baby sweater,Baby,First Class,1
Baby sweater,Baby,Same Day,3
Baby sweater,Baby,Second Class,2
Baby sweater,Baby,Standard Class,4
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,First Class,1
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,First Class,1
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,First Class,1
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Same Day,3
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Same Day,3
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Same Day,3
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Second Class,2
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Second Class,2
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Second Class,2
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Standard Class,4
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Standard Class,4
adidas Brazuca 2017 Official Match Ball,Baseball & Softball,Standard Class,4
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,First Class,1
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Second Class,2
Diamondback Boys' Insight 24 Performance Hybr,Basketball,Second Class,2
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Standard Class,4
Diamondback Boys' Insight 24 Performance Hybr,Basketball,Standard Class,4
Sports Books,Books,First Class,1
Sports Books,Books,Same Day,3
Sports Books,Books,Second Class,2
Sports Books,Books,Standard Class,4
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,First Class,1
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,First Class,1
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,First Class,1
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Same Day,3
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Same Day,3
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Second Class,2
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Second Class,2
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Second Class,2
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Standard Class,4
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Standard Class,4
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Standard Class,4
Web Camera,Cameras,First Class,1
Web Camera,Cameras,Same Day,3
Web Camera,Cameras,Second Class,2
Web Camera,Cameras,Standard Class,4
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,First Class,1
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Same Day,3
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Second Class,2
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Standard Class,4
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,First Class,1
Nike Women's Tempo Shorts,Cardio Equipment,First Class,1
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Same Day,3
Nike Women's Tempo Shorts,Cardio Equipment,Same Day,3
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Second Class,2
Nike Women's Tempo Shorts,Cardio Equipment,Second Class,2
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Standard Class,4
Nike Women's Tempo Shorts,Cardio Equipment,Standard Class,4
CDs of rock,CDs,First Class,1
CDs of rock,CDs,Same Day,3
CDs of rock,CDs,Second Class,2
CDs of rock,CDs,Standard Class,4
Children's heaters,Children's Clothing,First Class,1
Children's heaters,Children's Clothing,Second Class,2
Children's heaters,Children's Clothing,Standard Class,4
Total Gym 1400,Cleats,First Class,1
Perfect Fitness Perfect Rip Deck,Cleats,First Class,1
Perfect Fitness Perfect Rip Deck,Cleats,Same Day,3
Total Gym 1400,Cleats,Second Class,2
Perfect Fitness Perfect Rip Deck,Cleats,Second Class,2
Perfect Fitness Perfect Rip Deck,Cleats,Standard Class,4
Total Gym 1400,Cleats,Standard Class,4
Industrial consumer electronics,Consumer Electronics,First Class,1
Industrial consumer electronics,Consumer Electronics,Same Day,3
Industrial consumer electronics,Consumer Electronics,Second Class,2
Industrial consumer electronics,Consumer Electronics,Standard Class,4
Porcelain crafts,Crafts,First Class,1
Porcelain crafts,Crafts,Same Day,3
Porcelain crafts,Crafts,Second Class,2
Porcelain crafts,Crafts,Standard Class,4
DVDs,DVDs,First Class,1
DVDs,DVDs,Same Day,3
DVDs,DVDs,Second Class,2
DVDs,DVDs,Standard Class,4
Bridgestone e6 Straight Distance NFL Carolina,Electronics,First Class,1
Under Armour Women's Ignite PIP VI Slide,Electronics,First Class,1
Under Armour Women's Ignite Slide,Electronics,First Class,1
Under Armour Men's Compression EV SL Slide,Electronics,First Class,1
Under Armour Kids' Mercenary Slide,Electronics,First Class,1
Titleist Pro V1 High Numbers Personalized Gol,Electronics,First Class,1
Titleist Pro V1x High Numbers Golf Balls,Electronics,First Class,1
Titleist Pro V1x High Numbers Personalized Go,Electronics,First Class,1
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,First Class,1
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,First Class,1
Titleist Pro V1x Golf Balls,Electronics,First Class,1
Titleist Pro V1x High Numbers Personalized Go,Electronics,Same Day,3
Under Armour Kids' Mercenary Slide,Electronics,Same Day,3
Under Armour Women's Ignite Slide,Electronics,Same Day,3
Under Armour Men's Compression EV SL Slide,Electronics,Same Day,3
Bridgestone e6 Straight Distance NFL Carolina,Electronics,Same Day,3
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Same Day,3
Under Armour Women's Ignite PIP VI Slide,Electronics,Same Day,3
Titleist Pro V1 High Numbers Personalized Gol,Electronics,Same Day,3
Titleist Pro V1x Golf Balls,Electronics,Same Day,3
Titleist Pro V1x High Numbers Golf Balls,Electronics,Same Day,3
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Same Day,3
Titleist Pro V1x Golf Balls,Electronics,Second Class,2
Under Armour Kids' Mercenary Slide,Electronics,Second Class,2
Bridgestone e6 Straight Distance NFL Carolina,Electronics,Second Class,2
Titleist Pro V1 High Numbers Personalized Gol,Electronics,Second Class,2
Titleist Pro V1x High Numbers Personalized Go,Electronics,Second Class,2
Under Armour Women's Ignite PIP VI Slide,Electronics,Second Class,2
Under Armour Women's Ignite Slide,Electronics,Second Class,2
Titleist Pro V1x High Numbers Golf Balls,Electronics,Second Class,2
Under Armour Men's Compression EV SL Slide,Electronics,Second Class,2
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Second Class,2
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Second Class,2
Bridgestone e6 Straight Distance NFL Carolina,Electronics,Standard Class,4
Under Armour Kids' Mercenary Slide,Electronics,Standard Class,4
Under Armour Women's Ignite PIP VI Slide,Electronics,Standard Class,4
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Standard Class,4
Titleist Pro V1x Golf Balls,Electronics,Standard Class,4
Titleist Pro V1x High Numbers Personalized Go,Electronics,Standard Class,4
Under Armour Women's Ignite Slide,Electronics,Standard Class,4
Titleist Pro V1 High Numbers Personalized Gol,Electronics,Standard Class,4
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Standard Class,4
Titleist Pro V1x High Numbers Golf Balls,Electronics,Standard Class,4
Under Armour Men's Compression EV SL Slide,Electronics,Standard Class,4
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,First Class,1
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Same Day,3
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Second Class,2
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Standard Class,4
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,First Class,1
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Same Day,3
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Second Class,2
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Standard Class,4
Lawn mower,Garden,First Class,1
Lawn mower,Garden,Same Day,3
Lawn mower,Garden,Second Class,2
Lawn mower,Garden,Standard Class,4
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,First Class,1
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,First Class,1
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,First Class,1
TYR Boys' Team Digi Jammer,Girls' Apparel,First Class,1
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Same Day,3
TYR Boys' Team Digi Jammer,Girls' Apparel,Same Day,3
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Same Day,3
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Same Day,3
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Second Class,2
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Second Class,2
TYR Boys' Team Digi Jammer,Girls' Apparel,Second Class,2
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Second Class,2
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Standard Class,4
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Standard Class,4
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Standard Class,4
TYR Boys' Team Digi Jammer,Girls' Apparel,Standard Class,4
TaylorMade Women's RBZ SL Rescue,Golf Apparel,First Class,1
Top Flite Women's 2017 XL Hybrid,Golf Apparel,First Class,1
Top Flite Women's 2017 XL Hybrid,Golf Apparel,Same Day,3
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Same Day,3
TaylorMade Women's RBZ SL Rescue,Golf Apparel,Same Day,3
TaylorMade Women's RBZ SL Rescue,Golf Apparel,Second Class,2
Top Flite Women's 2017 XL Hybrid,Golf Apparel,Second Class,2
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Second Class,2
TaylorMade Women's RBZ SL Rescue,Golf Apparel,Standard Class,4
Top Flite Women's 2017 XL Hybrid,Golf Apparel,Standard Class,4
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Standard Class,4
Ogio Race Golf Shoes,Golf Bags & Carts,First Class,1
Ogio Race Golf Shoes,Golf Bags & Carts,Second Class,2
Ogio Race Golf Shoes,Golf Bags & Carts,Standard Class,4
Hirzl Men's Hybrid Golf Glove,Golf Balls,First Class,1
Glove It Women's Mod Oval Golf Glove,Golf Balls,First Class,1
Glove It Women's Imperial Golf Glove,Golf Balls,First Class,1
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,First Class,1
Hirzl Women's Hybrid Golf Glove,Golf Balls,First Class,1
Glove It Women's Imperial Golf Glove,Golf Balls,Same Day,3
Hirzl Men's Hybrid Golf Glove,Golf Balls,Same Day,3
Hirzl Women's Hybrid Golf Glove,Golf Balls,Same Day,3
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Same Day,3
Glove It Women's Mod Oval Golf Glove,Golf Balls,Same Day,3
Hirzl Men's Hybrid Golf Glove,Golf Balls,Second Class,2
Glove It Women's Mod Oval Golf Glove,Golf Balls,Second Class,2
Hirzl Women's Hybrid Golf Glove,Golf Balls,Second Class,2
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Second Class,2
Glove It Women's Imperial Golf Glove,Golf Balls,Second Class,2
Glove It Women's Imperial Golf Glove,Golf Balls,Standard Class,4
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Standard Class,4
Hirzl Men's Hybrid Golf Glove,Golf Balls,Standard Class,4
Hirzl Women's Hybrid Golf Glove,Golf Balls,Standard Class,4
Glove It Women's Mod Oval Golf Glove,Golf Balls,Standard Class,4
Bag Boy M330 Push Cart,Golf Gloves,First Class,1
Titleist Small Wheeled Travel Cover,Golf Gloves,First Class,1
Titleist Club Glove Travel Cover,Golf Gloves,First Class,1
Clicgear 8.0 Shoe Brush,Golf Gloves,First Class,1
Bag Boy Beverage Holder,Golf Gloves,First Class,1
TaylorMade 2017 Purelite Stand Bag,Golf Gloves,First Class,1
Clicgear Rovic Cooler Bag,Golf Gloves,First Class,1
Bag Boy M330 Push Cart,Golf Gloves,Same Day,3
TaylorMade 2017 Purelite Stand Bag,Golf Gloves,Same Day,3
Clicgear Rovic Cooler Bag,Golf Gloves,Same Day,3
Bag Boy Beverage Holder,Golf Gloves,Same Day,3
Clicgear 8.0 Shoe Brush,Golf Gloves,Same Day,3
Clicgear Rovic Cooler Bag,Golf Gloves,Second Class,2
Clicgear 8.0 Shoe Brush,Golf Gloves,Second Class,2
Titleist Club Glove Travel Cover,Golf Gloves,Second Class,2
TaylorMade 2017 Purelite Stand Bag,Golf Gloves,Second Class,2
Bag Boy Beverage Holder,Golf Gloves,Second Class,2
Titleist Club Glove Travel Cover,Golf Gloves,Standard Class,4
TaylorMade 2017 Purelite Stand Bag,Golf Gloves,Standard Class,4
Bag Boy Beverage Holder,Golf Gloves,Standard Class,4
Clicgear Rovic Cooler Bag,Golf Gloves,Standard Class,4
Clicgear 8.0 Shoe Brush,Golf Gloves,Standard Class,4
Bag Boy M330 Push Cart,Golf Gloves,Standard Class,4
Titleist Small Wheeled Travel Cover,Golf Gloves,Standard Class,4
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,First Class,1
LIJA Women's Argyle Golf Polo,Golf Shoes,First Class,1
LIJA Women's Mid0Length Panel Golf Shorts,Golf Shoes,First Class,1
LIJA Women's Button Golf Dress,Golf Shoes,First Class,1
LIJA Women's Argyle Golf Polo,Golf Shoes,Same Day,3
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Same Day,3
LIJA Women's Button Golf Dress,Golf Shoes,Same Day,3
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Second Class,2
LIJA Women's Argyle Golf Polo,Golf Shoes,Second Class,2
LIJA Women's Mid0Length Panel Golf Shorts,Golf Shoes,Standard Class,4
LIJA Women's Argyle Golf Polo,Golf Shoes,Standard Class,4
LIJA Women's Button Golf Dress,Golf Shoes,Standard Class,4
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Standard Class,4
First aid kit,Health and Beauty,First Class,1
First aid kit,Health and Beauty,Same Day,3
First aid kit,Health and Beauty,Second Class,2
First aid kit,Health and Beauty,Standard Class,4
Stiga Master Series ST3100 Competition Indoor,Hockey,First Class,1
Nike Women's Legend V0Neck T0Shirt,Hockey,First Class,1
Nike Dri0FIT Crew Sock 6 Pack,Hockey,First Class,1
Nike Women's Legend V0Neck T0Shirt,Hockey,Same Day,3
Nike Dri0FIT Crew Sock 6 Pack,Hockey,Same Day,3
Nike Dri0FIT Crew Sock 6 Pack,Hockey,Second Class,2
Nike Women's Legend V0Neck T0Shirt,Hockey,Second Class,2
Stiga Master Series ST3100 Competition Indoor,Hockey,Standard Class,4
Nike Women's Legend V0Neck T0Shirt,Hockey,Standard Class,4
Nike Dri0FIT Crew Sock 6 Pack,Hockey,Standard Class,4
insta0bed Neverflat Air Mattress,Hunting & Shooting,First Class,1
ENO Atlas Hammock Straps,Hunting & Shooting,First Class,1
insta0bed Neverflat Air Mattress,Hunting & Shooting,Same Day,3
ENO Atlas Hammock Straps,Hunting & Shooting,Same Day,3
The North Face Women's Recon Backpack,Hunting & Shooting,Same Day,3
ENO Atlas Hammock Straps,Hunting & Shooting,Second Class,2
insta0bed Neverflat Air Mattress,Hunting & Shooting,Second Class,2
insta0bed Neverflat Air Mattress,Hunting & Shooting,Standard Class,4
ENO Atlas Hammock Straps,Hunting & Shooting,Standard Class,4
The North Face Women's Recon Backpack,Hunting & Shooting,Standard Class,4
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,First Class,1
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Same Day,3
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Second Class,2
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Standard Class,4
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,First Class,1
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,First Class,1
Polar Loop Activity Tracker,Kids' Golf Clubs,First Class,1
Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,First Class,1
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,Same Day,3
Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Same Day,3
Polar Loop Activity Tracker,Kids' Golf Clubs,Same Day,3
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Same Day,3
Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Second Class,2
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Second Class,2
Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Second Class,2
Polar Loop Activity Tracker,Kids' Golf Clubs,Second Class,2
Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,Second Class,2
Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Standard Class,4
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Standard Class,4
Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Standard Class,4
Polar Loop Activity Tracker,Kids' Golf Clubs,Standard Class,4
Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Standard Class,4
Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,Standard Class,4
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,Standard Class,4
Under Armour Men's Tech II T0Shirt,Lacrosse,First Class,1
Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,First Class,1
Under Armour Men's Tech II T0Shirt,Lacrosse,Same Day,3
Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Second Class,2
Under Armour Men's Tech II T0Shirt,Lacrosse,Second Class,2
Under Armour Men's Tech II T0Shirt,Lacrosse,Standard Class,4
Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Standard Class,4
Men's gala suit,Men's Clothing,First Class,1
Men's gala suit,Men's Clothing,Same Day,3
Men's gala suit,Men's Clothing,Second Class,2
Men's gala suit,Men's Clothing,Standard Class,4
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,First Class,1
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Same Day,3
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Second Class,2
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Standard Class,4
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,First Class,1
Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,First Class,1
Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,First Class,1
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Same Day,3
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Same Day,3
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Second Class,2
Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Second Class,2
Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Second Class,2
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Second Class,2
Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Standard Class,4
Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Standard Class,4
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Standard Class,4
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Standard Class,4
Rock music,Music,First Class,1
Rock music,Music,Same Day,3
Rock music,Music,Second Class,2
Rock music,Music,Standard Class,4
Adult dog supplies,Pet Supplies,First Class,1
Adult dog supplies,Pet Supplies,Same Day,3
Adult dog supplies,Pet Supplies,Second Class,2
Adult dog supplies,Pet Supplies,Standard Class,4
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,First Class,1
Columbia Men's PFG Anchor Tough T0Shirt,Shop By Sport,First Class,1
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,First Class,1
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Same Day,3
Columbia Men's PFG Anchor Tough T0Shirt,Shop By Sport,Same Day,3
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Same Day,3
Columbia Men's PFG Anchor Tough T0Shirt,Shop By Sport,Second Class,2
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Second Class,2
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Second Class,2
Columbia Men's PFG Anchor Tough T0Shirt,Shop By Sport,Standard Class,4
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Standard Class,4
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Standard Class,4
Nike Men's Fingertrap Max Training Shoe,Soccer,First Class,1
Elevation Training Mask 2.0,Soccer,Same Day,3
Nike Men's Fingertrap Max Training Shoe,Soccer,Second Class,2
Elevation Training Mask 2.0,Soccer,Second Class,2
Nike Men's Fingertrap Max Training Shoe,Soccer,Standard Class,4
Elevation Training Mask 2.0,Soccer,Standard Class,4
Smart watch,Sporting Goods,First Class,1
Smart watch,Sporting Goods,Same Day,3
Smart watch,Sporting Goods,Second Class,2
Smart watch,Sporting Goods,Standard Class,4
Yakima DoubleDown Ace Hitch Mount 40Bike Rack,Strength Training,Same Day,3
Yakima DoubleDown Ace Hitch Mount 40Bike Rack,Strength Training,Second Class,2
Yakima DoubleDown Ace Hitch Mount 40Bike Rack,Strength Training,Standard Class,4
GoPro HERO3+ Black Edition Camera,Strength Training,Standard Class,4
Nike Men's Comfort 2 Slide,Tennis & Racquet,First Class,1
Nike Men's Comfort 2 Slide,Tennis & Racquet,Same Day,3
Nike Men's Comfort 2 Slide,Tennis & Racquet,Second Class,2
Nike Men's Comfort 2 Slide,Tennis & Racquet,Standard Class,4
Toys,Toys,First Class,1
Toys,Toys,Same Day,3
Toys,Toys,Second Class,2
Toys,Toys,Standard Class,4
Garmin Approach S3 Golf GPS Watch,Trade0In,First Class,1
Glove It Women's Mod Oval 30Zip Carry All Gol,Trade0In,First Class,1
Glove It Urban Brick Golf Towel,Trade0In,First Class,1
Glove It Imperial Golf Towel,Trade0In,First Class,1
Glove It Urban Brick Golf Towel,Trade0In,Same Day,3
Glove It Imperial Golf Towel,Trade0In,Same Day,3
Glove It Women's Mod Oval 30Zip Carry All Gol,Trade0In,Same Day,3
Glove It Urban Brick Golf Towel,Trade0In,Second Class,2
Garmin Approach S3 Golf GPS Watch,Trade0In,Second Class,2
Glove It Women's Mod Oval 30Zip Carry All Gol,Trade0In,Second Class,2
Glove It Imperial Golf Towel,Trade0In,Second Class,2
Glove It Women's Mod Oval 30Zip Carry All Gol,Trade0In,Standard Class,4
Garmin Approach S3 Golf GPS Watch,Trade0In,Standard Class,4
Glove It Imperial Golf Towel,Trade0In,Standard Class,4
Glove It Urban Brick Golf Towel,Trade0In,Standard Class,4
Fighting video games,Video Games,First Class,1
Fighting video games,Video Games,Same Day,3
Fighting video games,Video Games,Second Class,2
Fighting video games,Video Games,Standard Class,4
Pelican Sunstream 100 Kayak,Water Sports,First Class,1
Pelican Maverick 100X Kayak,Water Sports,First Class,1
Pelican Sunstream 100 Kayak,Water Sports,Same Day,3
Pelican Maverick 100X Kayak,Water Sports,Same Day,3
Pelican Maverick 100X Kayak,Water Sports,Second Class,2
Pelican Sunstream 100 Kayak,Water Sports,Second Class,2
Pelican Sunstream 100 Kayak,Water Sports,Standard Class,4
Pelican Maverick 100X Kayak,Water Sports,Standard Class,4
Nike Men's Dri0FIT Victory Golf Polo,Women's Apparel,First Class,1
Nike Men's Dri0FIT Victory Golf Polo,Women's Apparel,Same Day,3
Nike Men's Dri0FIT Victory Golf Polo,Women's Apparel,Second Class,2
Nike Men's Dri0FIT Victory Golf Polo,Women's Apparel,Standard Class,4
Summer dresses,Women's Clothing,First Class,1
Summer dresses,Women's Clothing,Same Day,3
Summer dresses,Women's Clothing,Second Class,2
Summer dresses,Women's Clothing,Standard Class,4
MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,First Class,1
Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Second Class,2
MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Second Class,2
TaylorMade White Smoke IN012 Putter,Women's Golf Clubs,Second Class,2
TaylorMade White Smoke IN012 Putter,Women's Golf Clubs,Standard Class,4
MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Standard Class,4
Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Standard Class,4
